geofence_risk,anomalies,time_of_day,movement_speed_kmh,historical_incidents_nearby,label
6,0,10,12.19,0,warning
3,3,19,1.07,1,warning
10,0,21,2.47,1,danger
7,4,23,14.09,0,danger
4,1,18,2.79,1,warning
6,5,1,4.04,2,danger
9,1,21,0.42,0,danger
2,0,19,7.81,2,safe
6,5,0,2.75,1,danger
10,4,7,8.06,1,danger
10,1,13,1.46,1,danger
7,4,8,2.75,2,danger
4,5,1,7.72,1,danger
3,5,22,18.22,1,danger
7,1,4,0.31,1,warning
7,4,22,8.37,0,danger
2,2,7,1.79,0,warning
5,4,15,4.0,0,danger
4,5,21,1.71,1,danger
1,4,15,4.75,0,warning
7,0,12,2.18,3,warning
5,2,19,2.03,1,warning
1,3,14,0.19,3,warning
4,0,0,0.79,2,warning
0,3,21,12.45,2,warning
9,1,2,31.82,2,danger
5,3,5,7.58,1,danger
8,4,21,1.69,1,danger
0,3,13,2.57,2,warning
10,5,3,6.73,2,danger
10,0,17,17.29,2,danger
9,0,14,3.04,4,danger
2,3,8,8.85,3,warning
6,0,17,18.46,2,warning
3,5,2,10.34,1,danger
8,0,9,1.29,1,warning
2,3,16,0.04,1,warning
4,2,6,3.39,2,warning
2,2,14,3.79,0,warning
6,1,0,1.12,3,warning
4,0,10,1.68,2,warning
8,3,16,7.24,1,danger
6,0,4,3.18,0,warning
1,4,6,1.91,0,warning
3,5,18,4.87,1,danger
8,0,23,5.29,0,warning
1,0,14,7.34,1,safe
9,2,2,0.85,1,danger
8,5,14,6.76,2,danger
9,3,4,4.57,1,danger
4,0,22,0.3,1,warning
1,2,11,7.51,0,safe
3,1,19,2.42,3,warning
6,5,4,2.01,1,danger
7,2,2,2.97,2,danger
2,2,8,2.12,3,warning
0,2,8,2.06,4,warning
3,0,6,8.25,3,safe
1,0,1,0.66,0,safe
7,1,22,17.63,3,danger
3,4,22,4.05,1,danger
1,4,20,1.01,0,warning
5,4,15,0.7,1,danger
5,5,8,4.48,2,danger
9,5,12,5.01,4,danger
3,1,18,0.27,4,warning
5,5,19,1.39,2,danger
1,4,16,7.94,2,warning
9,4,5,0.25,2,danger
1,2,3,9.66,1,warning
9,5,0,5.37,0,danger
3,0,17,2.85,0,safe
7,0,18,2.13,0,warning
6,2,8,0.1,1,warning
8,2,12,8.72,3,danger
7,2,7,0.77,2,danger
4,0,22,1.85,0,safe
1,4,12,4.21,1,warning
4,2,14,1.41,2,warning
7,1,10,3.44,0,warning
9,2,11,8.29,2,danger
8,3,13,3.18,1,danger
8,2,3,14.88,3,danger
0,0,0,9.4,2,safe
8,5,23,2.03,2,danger
6,2,3,2.55,3,danger
8,5,18,2.75,1,danger
7,3,8,4.92,2,danger
0,1,9,1.69,1,safe
7,5,3,17.41,5,danger
7,4,19,4.69,0,danger
10,2,8,2.55,0,danger
2,3,12,5.18,3,warning
0,3,11,2.52,2,warning
7,5,10,8.51,3,danger
2,1,11,4.19,1,safe
2,0,17,0.21,0,safe
0,2,11,0.97,3,safe
10,3,15,10.01,2,danger
4,1,4,4.14,2,warning
9,4,19,15.01,1,danger
6,3,11,0.38,0,danger
9,1,20,1.75,2,danger
8,0,10,1.08,0,warning
6,0,8,4.04,3,warning
